"","sample_id","experiment","conc_level","conc","conc_unit","time_level","exposure_type","time","time_unit","acta2_log2fc","acta2_fc","acta2_pvalue","acta2_padj","col1a1_log2fc","col1a1_fc","col1a1_pvalue","col1a1_padj","Single_cell_necrosis","Necrosis","Necrosis_fibrinoid","Fibrosis"
"76","tg_rliver_repeat_acetazolamide_t8_c3","acetazolamide",3,600,"mg/kg",8,"repeat",29,"day",0.043,1.030253954,0.736706335,0.960918591,-0.131,0.91319825,0.377679542,0.86784082,NA,NA,NA,NA
"77","tg_rliver_repeat_adapin_t5_c1","adapin",1,10,"mg/kg",5,"repeat",4,"day",-0.315,0.803850991,0.007322642,0.930117127,-0.113,0.924663278,0.243499951,0.939733973,NA,NA,NA,NA
"78","tg_rliver_repeat_adapin_t5_c2","adapin",2,30,"mg/kg",5,"repeat",4,"day",-0.265,0.832198735,0.053258383,0.644225627,-0.24,0.846745312,0.07667191,0.656222493,NA,NA,NA,NA
"79","tg_rliver_repeat_adapin_t5_c3","adapin",3,100,"mg/kg",5,"repeat",4,"day",-0.262,0.833931044,0.008442043,0.479730559,-0.387,0.764718139,0.019823339,0.548727907,NA,NA,NA,NA
"80","tg_rliver_repeat_adapin_t6_c1","adapin",1,10,"mg/kg",6,"repeat",8,"day",-0.209,0.865136691,0.081342754,0.462247118,-0.067,0.954621014,0.517237214,0.805992322,NA,NA,NA,NA
"81","tg_rliver_repeat_adapin_t6_c2","adapin",2,30,"mg/kg",6,"repeat",8,"day",-0.274,0.827023368,0.049201099,0.360067286,0.044,1.030968319,0.767366311,0.904358395,NA,NA,NA,NA
"82","tg_rliver_repeat_adapin_t6_c3","adapin",3,100,"mg/kg",6,"repeat",8,"day",-0.157,0.89688816,0.189315402,0.578490638,-0.297,0.813943185,0.009096904,0.321309158,NA,NA,NA,NA
"83","tg_rliver_repeat_adapin_t7_c1","adapin",1,10,"mg/kg",7,"repeat",15,"day",0.016,1.011152081,0.846503289,0.979857411,0.142,1.10343374,0.288157548,0.849553538,NA,NA,NA,NA
"84","tg_rliver_repeat_adapin_t7_c2","adapin",2,30,"mg/kg",7,"repeat",15,"day",0.179,1.132098902,0.080157456,0.997780477,-0.057,0.961260928,0.718642298,0.997780477,NA,NA,NA,NA
"85","tg_rliver_repeat_adapin_t7_c3","adapin",3,100,"mg/kg",7,"repeat",15,"day",-0.051,0.965267025,0.651451641,0.962317323,-0.2,0.870550563,0.155788132,0.849863611,NA,NA,NA,NA
"86","tg_rliver_repeat_adapin_t8_c1","adapin",1,10,"mg/kg",8,"repeat",29,"day",-0.036,0.975355462,0.630644064,0.9992481,0.097,1.069547088,0.188284656,0.9992481,NA,NA,NA,NA
"87","tg_rliver_repeat_adapin_t8_c2","adapin",2,30,"mg/kg",8,"repeat",29,"day",0.012,1.008352455,0.857618341,0.997605941,-0.021,0.985549337,0.840700586,0.997605941,NA,NA,NA,NA
"88","tg_rliver_repeat_adapin_t8_c3","adapin",3,100,"mg/kg",8,"repeat",29,"day",-0.183,0.880869374,0.024849575,0.564973849,-0.026,0.982139595,0.812867316,0.972992085,NA,NA,NA,NA
"89","tg_rliver_repeat_ajmaline_t5_c1","ajmaline",1,30,"mg/kg",5,"repeat",4,"day",0.561,1.475291457,0.036975008,0.683609675,0.2,1.148698355,0.22190907,0.818235077,NA,NA,NA,NA
"90","tg_rliver_repeat_ajmaline_t5_c2","ajmaline",2,100,"mg/kg",5,"repeat",4,"day",0.052,1.036701101,0.505751776,0.926429569,0.105,1.07549439,0.484846952,0.923108413,NA,NA,NA,NA
"91","tg_rliver_repeat_ajmaline_t5_c3","ajmaline",3,300,"mg/kg",5,"repeat",4,"day",-0.032,0.978063473,0.798815627,0.94120556,0.112,1.080725402,0.374787409,0.736037025,NA,NA,NA,NA
"92","tg_rliver_repeat_ajmaline_t6_c1","ajmaline",1,30,"mg/kg",6,"repeat",8,"day",0.001,1.000693387,0.996424647,0.999185064,0.289,1.221793102,0.219807986,0.999185064,NA,NA,NA,NA
"93","tg_rliver_repeat_ajmaline_t6_c2","ajmaline",2,100,"mg/kg",6,"repeat",8,"day",-0.022,0.984866443,0.889716957,0.980199999,0.524,1.437936533,0.049455296,0.769850217,NA,NA,NA,NA
"94","tg_rliver_repeat_ajmaline_t6_c3","ajmaline",3,300,"mg/kg",6,"repeat",8,"day",-0.214,0.862143545,0.277102528,0.772229325,0.049,1.034547582,0.732692263,0.945215609,NA,NA,NA,NA
"95","tg_rliver_repeat_ajmaline_t7_c1","ajmaline",1,30,"mg/kg",7,"repeat",15,"day",-0.009,0.993781093,0.936105343,0.999184751,-0.285,0.820741609,0.059982145,0.999184751,NA,NA,NA,NA
"96","tg_rliver_repeat_ajmaline_t7_c2","ajmaline",2,100,"mg/kg",7,"repeat",15,"day",-0.017,0.988285652,0.870866141,0.9993523,-0.156,0.897510051,0.479382322,0.9993523,NA,NA,NA,NA
"97","tg_rliver_repeat_ajmaline_t7_c3","ajmaline",3,300,"mg/kg",7,"repeat",15,"day",0.007,1.00486382,0.953441557,0.99645178,-0.31,0.806641759,0.132114525,0.720854694,"no","yes","no","no"
"98","tg_rliver_repeat_ajmaline_t8_c1","ajmaline",1,30,"mg/kg",8,"repeat",29,"day",0.204,1.151887642,0.262407567,0.827297195,0.21,1.156688184,0.121387624,0.790367881,NA,NA,NA,NA
"99","tg_rliver_repeat_ajmaline_t8_c2","ajmaline",2,100,"mg/kg",8,"repeat",29,"day",-0.053,0.963929808,0.760555524,0.970453691,0.391,1.311302014,0.025480137,0.630733391,NA,NA,NA,NA
"100","tg_rliver_repeat_ajmaline_t8_c3","ajmaline",3,300,"mg/kg",8,"repeat",29,"day",0.218,1.163120042,0.224709554,0.649307591,0.041,1.028826708,0.777712939,0.945111816,NA,NA,NA,NA
"101","tg_rliver_repeat_allopurinol_t5_c1","allopurinol",1,15,"mg/kg",5,"repeat",4,"day",-0.04,0.972654947,0.838992834,0.989974819,-0.366,0.775930854,0.006447416,0.809562603,NA,NA,NA,NA
"102","tg_rliver_repeat_allopurinol_t5_c2","allopurinol",2,50,"mg/kg",5,"repeat",4,"day",-0.217,0.860352631,0.325415435,0.87755732,-0.128,0.915099168,0.699666141,0.959700044,NA,NA,NA,NA
"103","tg_rliver_repeat_allopurinol_t5_c3","allopurinol",3,150,"mg/kg",5,"repeat",4,"day",-0.301,0.811689581,0.08278595,0.382812132,-0.614,0.653382627,0.000344368,0.062841929,NA,NA,NA,NA
"104","tg_rliver_repeat_allopurinol_t6_c1","allopurinol",1,15,"mg/kg",6,"repeat",8,"day",0.116,1.083725967,0.373443321,0.95025941,0.314,1.243149669,0.053667844,0.915784487,"no","yes","no","no"
"105","tg_rliver_repeat_allopurinol_t6_c2","allopurinol",2,50,"mg/kg",6,"repeat",8,"day",0.204,1.151887642,0.142996066,0.745852596,0.925,1.898684242,0.027485922,0.602183708,NA,NA,NA,NA
"106","tg_rliver_repeat_allopurinol_t6_c3","allopurinol",3,150,"mg/kg",6,"repeat",8,"day",0.15,1.109569472,0.329866212,0.793158896,-0.071,0.951977908,0.550594976,0.898458458,NA,NA,NA,NA
"107","tg_rliver_repeat_allopurinol_t7_c1","allopurinol",1,15,"mg/kg",7,"repeat",15,"day",-0.001,0.999307093,0.991661368,0.999347171,-0.232,0.851453708,0.163432647,0.893120865,NA,NA,NA,NA
"108","tg_rliver_repeat_allopurinol_t7_c2","allopurinol",2,50,"mg/kg",7,"repeat",15,"day",0.176,1.129747215,0.042720643,0.983096218,-0.238,0.847919965,0.084645905,0.983096218,NA,NA,NA,NA
"109","tg_rliver_repeat_allopurinol_t7_c3","allopurinol",3,150,"mg/kg",7,"repeat",15,"day",0.274,1.209155676,0.072960796,0.33607793,-0.576,0.670821112,0.001522896,0.044137341,NA,NA,NA,NA
"110","tg_rliver_repeat_allopurinol_t8_c1","allopurinol",1,15,"mg/kg",8,"repeat",29,"day",-0.049,0.966606097,0.703873404,0.963748659,-0.143,0.905633983,0.248091554,0.875761994,NA,NA,NA,NA
"111","tg_rliver_repeat_allopurinol_t8_c2","allopurinol",2,50,"mg/kg",8,"repeat",29,"day",-0.019,0.986916546,0.857789563,0.977247044,-0.262,0.833931044,0.123208249,0.850376594,NA,NA,NA,NA
"112","tg_rliver_repeat_allopurinol_t8_c3","allopurinol",3,150,"mg/kg",8,"repeat",29,"day",0.322,1.250062303,0.034687056,0.364989113,-0.306,0.808881348,0.015585197,0.277483261,NA,NA,NA,NA
"113","tg_rliver_repeat_allylalcohol_t5_c1","allyl alcohol",1,3,"mg/kg",5,"repeat",4,"day",-0.053,0.963929808,0.66832717,0.956653188,0.138,1.100378609,0.582281853,0.943649351,NA,NA,NA,NA
"114","tg_rliver_repeat_allylalcohol_t5_c2","allyl alcohol",2,10,"mg/kg",5,"repeat",4,"day",-0.114,0.924022572,0.429852582,0.947827836,-0.257,0.836826243,0.286450773,0.92933322,NA,NA,NA,NA
"115","tg_rliver_repeat_allylalcohol_t5_c3","allyl alcohol",3,30,"mg/kg",5,"repeat",4,"day",-0.183,0.880869374,0.228264477,0.684596907,0.004,1.002776436,0.990184366,0.997522511,"no","yes","no","no"
"116","tg_rliver_repeat_allylalcohol_t6_c1","allyl alcohol",1,3,"mg/kg",6,"repeat",8,"day",0.022,1.015366101,0.871235043,0.99853765,0.083,1.059218335,0.843789082,0.99853765,NA,NA,NA,NA
